Product ID,Updated,Status,Instance ID,Version
7e7a1fed-68e3-44b8-a71d-15b9f6682ef5,2023-08-29T08:49:16.383+00:00,['Feed Exclusions'],2e7515a9-a4d9-4c25-ab87-a14f43a9ed1a,40
7e721f6e-e830-4b92-a349-cef30936b00e,2023-08-29T08:49:16.743+00:00,"['Feed Exclusions', 'Physical']",6c9d2804-a964-4e61-8013-90a3576763e8,40
7e73f927-5111-4b34-b984-537f18404b53,2023-08-29T08:49:15.57+00:00,['Feed Exclusions'],2ea67cec-f798-47f6-af9c-4536bf332cdd,40
7ec050d2-36e5-4a16-a5a7-47f9111e9b6b,2023-09-20T05:13:16.663+00:00,"['Unique Sent', 'Brand']",1dc0a982-8e88-46b3-b909-9eace67ec87b,41
7ea6f615-f831-4351-9f81-f00c63794467,2023-09-20T05:12:59.883+00:00,"['Unique Sent', 'Brand']",317660c7-b99a-45d2-b9b7-c1addccb36a4,41
7eb7a309-b4ec-42cb-8e01-45aead11e454,2023-08-29T08:48:31.257+00:00,"['Feed Exclusions', 'Physical']",0985f8df-dfea-4afe-8c49-bc0d51d9d072,40
7eac23f8-b956-4e19-9995-e677fb090c8f,2023-08-29T08:48:29.553+00:00,"['Feed Exclusions', 'Physical']",8a8bf829-d07f-4bd2-be5a-f74105a0002f,40
7e986047-f0c7-4e78-ade2-91dfc8c3d06a,2023-08-29T08:49:17.197+00:00,"['Feed Exclusions', 'Physical']",641dfd65-7aaf-4e3c-bb1e-eb2ca2895fe0,40
7e9042b5-ff26-4c7e-9ff8-cb1bdd91c163,2023-09-08T05:05:33.643+00:00,['Feed Exclusions'],1a8aeefc-40a4-4bba-9276-960c3873f168,40
7e7782d8-3597-4735-86e5-58893a10ea93,2023-08-29T08:49:18.18+00:00,"['Feed Exclusions', 'Physical']",70485cdb-ed88-4fe6-8360-5ad0b5950970,40
7e7a01c6-5bf2-45a0-8d61-09bfd14e2d70,2023-08-29T08:49:16.163+00:00,"['Feed Exclusions', 'Physical']",97d0049c-db59-413f-afba-70331f19bc78,40
7e6c6080-0b45-47d8-a0e0-f684e32a3f50,2023-08-29T08:49:16.103+00:00,"['Feed Exclusions', 'Physical']",7d4b6aa0-6f1e-44dd-8689-6d71e7a7e0aa,40
7e63575e-ec97-401b-81c1-24615cbba28a,2023-08-29T08:49:15.43+00:00,"['Feed Exclusions', 'Physical']",87cf3e41-0c40-4cef-9e4b-6dd71c084f54,40
7e6744fa-884c-4d30-9190-f8186d07bdde,2023-08-29T08:49:18.477+00:00,"['Feed Exclusions', 'Digital', 'WaitingReject']",cd6d2225-92fb-41d2-b341-f310801b4996,40
7e959e98-0a7d-4d22-9448-6babf4130830,2023-08-29T08:49:17.57+00:00,"['Feed Exclusions', 'Physical']",861f9db9-ff94-4e31-9883-eccd21757338,40
7e664eb7-825f-421e-bf6c-af10e7daf368,2023-09-08T05:03:11.423+00:00,['Feed Exclusions'],3d2a4d4a-5080-4994-a83e-42374ca09661,40
7e58a602-55af-4b35-804e-364104bf0203,2023-09-20T05:13:00.587+00:00,"['Unique Sent', 'Brand']",cc5ffc66-45a0-4323-ac32-224c8d31a368,41
7e2df51b-245c-463f-ab6c-9c596b7c8c29,2023-08-29T08:49:15.227+00:00,"['Feed Exclusions', 'Physical']",b26b3e93-12c6-48a4-82e9-d11b08f97ffb,40
7e310128-8f6a-44ca-9923-4590a6185b78,2023-08-29T08:49:12.867+00:00,"['Feed Exclusions', 'Digital', 'WaitingReject']",bdd06532-8cc0-48a8-81ca-5b69f4ab7128,40
7e47ebcf-9889-4e28-bbf4-583c1e884d0f,2023-09-08T05:02:38.69+00:00,['Feed Exclusions'],9c28de5b-3ead-4111-add0-a7523729ed0d,40
7e3fa7ca-1e9f-471b-bdf0-7010f3e88be8,2023-08-29T08:49:15.557+00:00,['Feed Exclusions'],610067e0-00ba-4e40-8bed-e7d5aa14d241,40
7e3729a6-a304-497b-913a-c9bb9be7de3a,2023-08-29T08:49:13.4+00:00,"['Feed Exclusions', 'Digital', 'WaitingReject']",913cfc5d-368a-4e45-a301-d6b5055ecfdb,40
7e340dff-b646-4999-9356-814dba124682,2023-08-29T08:49:13.46+00:00,"['Feed Exclusions', 'Digital', 'WaitingReject']",88b157a3-c6a1-44d7-bc26-0981d0d78aa1,40
7e1baaef-1bfc-40f9-b8f6-d5420f213171,2023-09-06T05:06:44.243+00:00,"['Unique Sent', 'Brand']",c2b2b5b1-9b9d-4574-af92-8b6d25487da2,40
7e2fe31c-0e8c-4771-8d76-e7e49e979479,2023-09-08T05:04:46.94+00:00,['Feed Exclusions'],15e7cdac-53b7-48f5-8d0c-904c0e2440f9,40
7e0a632c-4a97-46c3-a54b-a02a7739c09f,2023-08-29T08:49:14.307+00:00,"['Feed Exclusions', 'Physical']",ab1889c1-497d-4e61-9ece-1a42a9c376fd,40
7e6c4e70-8de1-4493-8899-580fab71e6d1,2023-08-29T08:49:13.603+00:00,"['Feed Exclusions', 'Digital', 'WaitingReject']",e4a9b8ca-82a9-4942-b639-2575399ff11c,40
7e4d058b-da3a-494f-96ed-90ecbb02378b,2023-08-29T08:49:14.913+00:00,"['Feed Exclusions', 'Digital', 'WaitingReject']",55ea7169-de89-442a-b94d-365fdf262e9a,40
7e491111-4104-46bf-a7df-fd1c63a131d7,2023-09-20T05:13:06.26+00:00,"['Unique Sent', 'Brand']",f616fba0-79a3-4d74-a2c8-9d7de335bbe5,41
